Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS Landing Page,Chrome 111.0.5563.110,,,2023-03-27 18:03:15,2023-03-27 18:05:07,1m - 51.254s,PASSED
,,,,,,,
Test Cases/TCF Home Menu/TC Customer successfully check elements completeness perqara landing page without login,Chrome 111.0.5563.110,,,2023-03-27 18:03:16,2023-03-27 18:03:41,25.459s,PASSED
"openBrowser("""")",Chrome 111.0.5563.110,,,2023-03-27 18:03:17,2023-03-27 18:03:20,3.650s,PASSED
"navigateToUrl(""https://perqara.com/"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:20,2023-03-27 18:03:33,12.256s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/OBJR Landing Page/OBJR Modal/modal_icon x Kebijakan Privasi""), 1, CONTINUE_ON_FAILURE))",Chrome 111.0.5563.110,,,2023-03-27 18:03:33,2023-03-27 18:03:34,1.337s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/OBJR Landing Page/OBJR Menu Top/icon_perqara Menu Top""))",Chrome 111.0.5563.110,,,2023-03-27 18:03:34,2023-03-27 18:03:34,0.275s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Menu Top/link_menu top Beranda""), ""Beranda"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:34,2023-03-27 18:03:34,0.310s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Menu Top/link_menu top Cari Advokat""), ""Cari Advokat"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:34,2023-03-27 18:03:35,0.134s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Menu Top/link_menu top Blog""), ""Blog"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:35,2023-03-27 18:03:35,0.218s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Menu Top/link_menu top FAQ""), ""FAQ"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:35,2023-03-27 18:03:35,0.090s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Menu Top/link_menu top Kebijakan Privasi""), ""Kebijakan Privasi"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:35,2023-03-27 18:03:35,0.101s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Menu Top/link_menu top Masuk""), ""Masuk"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:35,2023-03-27 18:03:35,0.107s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Menu Top/link_menu top Daftar""), ""Daftar"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:35,2023-03-27 18:03:35,0.073s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Cari Pengacara/button_Cari""), ""Cari"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:35,2023-03-27 18:03:35,0.103s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/h2_Pilih berdasarkan kategori""), ""Pilih berdasarkan kategori"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:35,2023-03-27 18:03:35,0.079s,PASSED
"mes = getText(findTestObject(""OBJR Landing Page/OBJR Kategori/label_Kategori temukan advokat""))",Chrome 111.0.5563.110,,,2023-03-27 18:03:35,2023-03-27 18:03:35,0.093s,PASSED
"if (!(toString().contains(""Pilih kategori dan temukan advokat yang tepat untuk menjawab"")))",Chrome 111.0.5563.110,,,2023-03-27 18:03:35,2023-03-27 18:03:35,0.003s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Pidana/link_box kategori Pidana""), 30)",Chrome 111.0.5563.110,,,2023-03-27 18:03:35,2023-03-27 18:03:36,0.075s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Pidana/link_label Pidana""), ""Pidana"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:36,2023-03-27 18:03:36,0.101s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Pidana/link_label Detail Kategori Pidana""), ""Detail Kategori"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:36,2023-03-27 18:03:36,0.119s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Pidana/img_kategori Pidana""))",Chrome 111.0.5563.110,,,2023-03-27 18:03:36,2023-03-27 18:03:36,0.108s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori perdata/link_box kategori Perdata""), 30)",Chrome 111.0.5563.110,,,2023-03-27 18:03:36,2023-03-27 18:03:36,0.095s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori perdata/link_label Perdata""), ""Perdata"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:36,2023-03-27 18:03:36,0.094s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Pidana/link_label Detail Kategori Pidana""), ""Detail Kategori"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:36,2023-03-27 18:03:36,0.114s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori perdata/img_kategori Perdata""))",Chrome 111.0.5563.110,,,2023-03-27 18:03:36,2023-03-27 18:03:36,0.223s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Ketenagakerjaan/link_kategori Ketenagakerjaan""), 30)",Chrome 111.0.5563.110,,,2023-03-27 18:03:36,2023-03-27 18:03:37,0.157s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Ketenagakerjaan/link_label Ketenagakerjaan""), ""Ketenagakerjaan"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:37,2023-03-27 18:03:37,0.102s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Pidana/link_label Detail Kategori Pidana""), ""Detail Kategori"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:37,2023-03-27 18:03:37,0.073s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Ketenagakerjaan/img_kategori Ketenagakerjaan""))",Chrome 111.0.5563.110,,,2023-03-27 18:03:37,2023-03-27 18:03:37,0.087s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Perkawinan dan Perceraian/link_box kategori Perkawinan dan Perceraian""), 30)",Chrome 111.0.5563.110,,,2023-03-27 18:03:37,2023-03-27 18:03:37,0.065s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Perkawinan dan Perceraian/link_label Perkawinan dan Perceraian""), ""Perkawinan dan Perceraian"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:37,2023-03-27 18:03:37,0.071s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Pidana/link_label Detail Kategori Pidana""), ""Detail Kategori"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:37,2023-03-27 18:03:37,0.092s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Perkawinan dan Perceraian/img_kategori Perkawinan dan Perceraian""))",Chrome 111.0.5563.110,,,2023-03-27 18:03:37,2023-03-27 18:03:37,0.094s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Pertanahan/link_box kategori Pertanahan""), 30)",Chrome 111.0.5563.110,,,2023-03-27 18:03:37,2023-03-27 18:03:37,0.073s,PASSED
"verifyElementText(findTestObject(""Object Repository/OBJR Landing Page/OBJR Kategori/OBJR Kategori Pertanahan/link_label Pertanahan""), ""Pertanahan"")",Chrome 111.0.5563.110,,,2023-03-27 18:03:37,2023-03-27 18:03:37,0.128s,PASSED
