Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS Simple Calculation,,,,2023-03-28 15:06:57,2023-03-28 15:08:50,1m - 53.305s,PASSED
,,,,,,,
Test Cases/TCF Samsung Calculator App/TC Addition,,,,2023-03-28 15:06:57,2023-03-28 15:07:27,30.105s,PASSED
"startExistingApplication(""com.sec.android.app.popupcalculator"")",,,,2023-03-28 15:06:58,2023-03-28 15:07:11,13.726s,PASSED
delay(5),,,,2023-03-28 15:07:11,2023-03-28 15:07:16,5.078s,PASSED
"tap(findTestObject(""OBJR Samsung Calculator/Button C""), 2)",,,,2023-03-28 15:07:16,2023-03-28 15:07:17,0.930s,PASSED
"tap(findTestObject(""OBJR Samsung Calculator/Button 4""), 2)",,,,2023-03-28 15:07:17,2023-03-28 15:07:18,0.872s,PASSED
"tap(findTestObject(""OBJR Samsung Calculator/Button Addition""), 2)",,,,2023-03-28 15:07:18,2023-03-28 15:07:19,0.833s,PASSED
"tap(findTestObject(""OBJR Samsung Calculator/Button 3""), 2)",,,,2023-03-28 15:07:19,2023-03-28 15:07:20,0.841s,PASSED
"tap(findTestObject(""OBJR Samsung Calculator/Button Equal""), 2)",,,,2023-03-28 15:07:20,2023-03-28 15:07:21,0.833s,PASSED
"verifyElementText(findTestObject(""OBJR Samsung Calculator/Result Display""), ""7 Calculation result"")",,,,2023-03-28 15:07:21,2023-03-28 15:07:22,1.005s,PASSED
delay(5),,,,2023-03-28 15:07:22,2023-03-28 15:07:27,5.021s,PASSED
closeApplication(),,,,2023-03-28 15:07:27,2023-03-28 15:07:27,0.580s,PASSED
,,,,,,,
Test Cases/TCF Samsung Calculator App/TC Division,,,,2023-03-28 15:07:27,2023-03-28 15:07:56,28.218s,PASSED
"startExistingApplication(""com.sec.android.app.popupcalculator"")",,,,2023-03-28 15:07:28,2023-03-28 15:07:39,11.557s,PASSED
delay(5),,,,2023-03-28 15:07:39,2023-03-28 15:07:44,5.026s,PASSED
"tap(findTestObject(""OBJR Samsung Calculator/Button C""), 2)",,,,2023-03-28 15:07:44,2023-03-28 15:07:45,0.685s,PASSED
"tap(findTestObject(""OBJR Samsung Calculator/Button 3""), 2)",,,,2023-03-28 15:07:45,2023-03-28 15:07:46,0.866s,PASSED
"tap(findTestObject(""OBJR Samsung Calculator/Button 0""), 2)",,,,2023-03-28 15:07:46,2023-03-28 15:07:47,0.854s,PASSED
"tap(findTestObject(""OBJR Samsung Calculator/Button Division""), 2)",,,,2023-03-28 15:07:47,2023-03-28 15:07:47,0.875s,PASSED
"tap(findTestObject(""OBJR Samsung Calculator/Button 6""), 2)",,,,2023-03-28 15:07:47,2023-03-28 15:07:48,0.815s,PASSED
"tap(findTestObject(""OBJR Samsung Calculator/Button Equal""), 2)",,,,2023-03-28 15:07:48,2023-03-28 15:07:49,0.829s,PASSED
"verifyElementText(findTestObject(""OBJR Samsung Calculator/Result Display""), ""5 Calculation result"")",,,,2023-03-28 15:07:49,2023-03-28 15:07:50,0.977s,PASSED
delay(5),,,,2023-03-28 15:07:50,2023-03-28 15:07:55,5.013s,PASSED
closeApplication(),,,,2023-03-28 15:07:55,2023-03-28 15:07:56,0.496s,PASSED
,,,,,,,
